product url,product name,product price,rating,number of reviews,asin,description,manufacturer,product description
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A01093681JACYS0FUH2Y&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ8FFBZ%2Fref%3Dsr_1_171_sspa%3Fkeywords%3Dbags%26qid%3D1653393356%26smid%3DA3RXEJKPWRVCLY%26sr%3D8-171-spons%26psc%3D1&qualifier=1653393356&id=65495407200145&widgetName=sp_mtf,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,899,3.9,6089,B08YZ8FFBZ,,,
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A0494595386H3BEBNX69B&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_172_sspa%3Fkeywords%3Dbags%26qid%3D1653393356%26sr%3D8-172-spons%26psc%3D1&qualifier=1653393356&id=65495407200145&widgetName=sp_mtf,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  ,719,4.0,155,B09VCLZ3K4,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfortCOMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it menं , womenं , boys , girls.SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
https://www.amazon.in//NOVICZ-Navy-Blue-Rucksack-HK004-TRAWOC-NAVYBLUE/dp/B0796PGYKS/ref=sr_1_173?keywords=bags&qid=1653393356&sr=8-173,"TRAWOC 60 Ltr Travel Backpack Hiking Trekking Rucksack Bag, 1 Year Warranty, Navy Blue  ",1572,4.2,1589,B0796PGYKS,,,
https://www.amazon.in//Digital-Waterproof-Breathable-Backpack-Shockproof/dp/B09VPZDYY4/ref=sr_1_174?keywords=bags&qid=1653393356&sr=8-174,Camera Bag Digital Dslr cover Waterproof Breathable Backpack Shockproof For Nikon Canon Sony DV Lens Small Video Cameras  ,599,3.4,8,B09VPZDYY4,"Material: PolyesterMaterial: PolyesterFit For: For Nikon,For Canon,For Sony,For DSLR universal",Amazing Bags,"100% brand new and high quality Fashion backpack is compatible with most DSLR cameras. Store and manage your DSLR camera body, additional lenses, and other accessories compactly Prefect camera bag can hold all and secure all in outdoor cases Adjustable padded dividers can be moved to customize the camera compartment and fit different camera size and shape Can serve as normal backpack once the padded dividers all removed External large mesh pocket for accessories or bottle of water. Extra pockets for extra memory cards, cables, and accessories. The backpack with soft padded handle for carrying comfort during long journey Waterproof backpack, it's life waterproof, can resist light rain and splashes Specification: Material: Polyester Size: 34*26.5*12.5cm Fit For: For Nikon,For Canon,For Sony,For DSLR universal"
https://www.amazon.in//Caprese-Yondella-Womens-Medium-Synthetic/dp/B07TY4NDVF/ref=sr_1_175?keywords=bags&qid=1653393356&sr=8-175,Caprese Yondella Women's Medium Tan Synthetic Sling Bag  ,1490,4.8,7,B07TY4NDVF,Department - Women'sColour - TanMaterial - Synthetic,Caprese,This sling bag is made of synthetic for women. It comes in tan colour.
https://www.amazon.in//Fristo-Brown-Women-Handbag/dp/B07NDT1YC7/ref=sr_1_176?keywords=bags&qid=1653393356&sr=8-176,Fristo Women's Handbag (FRB-321_Brown)  ,489,3.9,1988,B07NDT1YC7,,,
https://www.amazon.in//Motherly-Diaper-Mothers-Maternity-Unicorn/dp/B07PMJGTPH/ref=sr_1_177?keywords=bags&qid=1653393356&sr=8-177,"Motherly Baby Diaper Bag, Mothers Maternity Bags for Travel (Unicorn Blue)  ",2249,4.7,2623,B07PMJGTPH,,,
https://www.amazon.in//Probus-Traveller-Business-Laptop-Sleeve/dp/B08B1MRC52/ref=sr_1_178?keywords=bags&qid=1653393356&sr=8-178,Probus Traveller Business Laptop Sleeve Sling Bag with Shoulder Strap for 13.3/15.6 inch Laptop  ,1249,4.3,108,B08B1MRC52,"Universal Compatibility: This bag is compatible with all 13.3 to 15.6 inch macbook / laptop / ultrabook / chromebook / notebook etc of all famous brands.Utility Compartments: The laptop Shoulder bag comes with 3 Pockets. One main zipper pocket has to fit your laptop. There are two zipper side pockets to store mobile, wallet, pen, charger ,other small items and other electronic stuff.Shoulder and Trolley Strap: It makes easy for you to carry this bag with removable shoulder strap. It has soft padded strap to carry bag for longer period of time.Stylish Laptop Bag: Probus laptop bag is a must have product for your business trips. Stylish elegant looking design bag made with material for sturdiness and durability.Protect Your Laptop: Soft, thick and velvet lining material protects your laptop from accidental hit ,bumps ,scratches, other objects damages.",Probus,"Probus Traveller Easy Clean Business Laptop Sleeve Sling Bag with Should Strap for 13.3 to 15.6 inch Laptop . Probus brings traveller bag for business and usual trips. business class design made with high grade material which gives better STRENGTH, DURABILITY, and other features like WATER RESISTANT, ANTI SCRATCH, EASY CLEAN etc. Probus bag comes with multiple pockets to carry required stuff with you. You can carry your laptop, tablet, charger, diary, book, A4 size documents in this bag. Bag comes with removable should strap for long trips along with handles. You can hide handles as per your requirement in quick access pockets or leave it as it is. It has soft padded support in shoulder strap to carry heavy bag for longer time. Bag comes with trolley strap to fix your bag with trolley while travelling which makes less hassle while travelling with multiple bags. Specifications: -Material: Artificial Leather. -Front Pockets: 2xBig zippered pockets with pen pockets, phone pocket inside. -Main Compartment: 1 x Laptop Compartment of soft thick padding with fluffy lining, and 1 x Accessory Compartment. -Top Pockets: 2 x Non-zippered pockets below handles. -Luggage Strap: Sturdy on back. -Dual Handles: Well-padded and sturdy. -Shoulder strap: 1 x Detachable Shoulder Strap."
https://www.amazon.in//COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JXC2L4/ref=sr_1_179?keywords=bags&qid=1653393356&sr=8-179,Multipurpose Backpack Bag - Cosmus Madison 33L waterproof Bag With laptop compartment  ,1375,4.2,1964,B078JXC2L4,Large multi-compartment backpack with a padded sleeve for laptops Holds up to 15 inches LaptopMade in India. Water Resistance PU Coated Durable Fabric with padded back section for comfortable carry; Number of compartments: 2; Number of pockets:2 with 2 Side mash pocketFront Organizer compartments for pens keys and cell phone; Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gmsStyle Name: Daypack Backpacks; Age Range Description: Kid; Pattern Name: Solid; Pocket Description: Utility Pocket; Closure Type: Zipper; Lining Description: PolyurethaneAge Range Description: Kid; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Daypack Backpacks; Closure Type: Zipper; Lining Description: Polyurethane,Cosmus,
https://www.amazon.in//Lino-Perros-Womens-Sling-Brown/dp/B07KFGJ1WM/ref=sr_1_180?keywords=bags&qid=1653393356&sr=8-180,Lino Perros Women's Artificial Leather Sling bag  ,988,3.9,456,B07KFGJ1WM,Lino Perros Women's Artificial Leather Sling bag Peach ColouredMaterial : Artificial Leather20 centimeters height x 28 centimeters length x 5 centimeters widthDo not expose to extreme heat,SUMITSU APPAREL PVT. LTD.,A single compartment sling with leatherette and strap for any casual outing. It comes with two external pockets for organising your belongings. The subtle pastel colour of the bag brings out the silhouette.
